symbol,date,open,high,low,close,volume
NZDUSD,2025-11-05,0.56437,0.56654,0.56304,0.56617,134792
NZDUSD,2025-11-04,0.5706,0.57094,0.56351,0.56437,145908
NZDUSD,2025-11-03,0.57199,0.57301,0.56922,0.5706,117567
NZDUSD,2025-11-02,0.57199,0.57287,0.57128,0.57266,24018
NZDUSD,2025-10-31,0.57411,0.5745,0.57137,0.57224,127148
NZDUSD,2025-10-30,0.57632,0.57884,0.57257,0.57411,349670
NZDUSD,2025-10-29,0.57805,0.58015,0.5749,0.57632,186981
NZDUSD,2025-10-28,0.57686,0.57894,0.57588,0.57805,125615
NZDUSD,2025-10-27,0.57747,0.57747,0.57517,0.57686,129174
NZDUSD,2025-10-26,0.57723,0.57744,0.57532,0.57585,29883
NZDUSD,2025-10-24,0.57491,0.57754,0.57381,0.57458,139614
NZDUSD,2025-10-23,0.57362,0.57552,0.57244,0.57491,225570
NZDUSD,2025-10-22,0.5741,0.57609,0.57337,0.57362,167967
NZDUSD,2025-10-21,0.57433,0.57521,0.57095,0.5741,160492
NZDUSD,2025-10-20,0.57241,0.57532,0.57167,0.57433,129993
NZDUSD,2025-10-19,0.57324,0.57538,0.57269,0.57318,27565
NZDUSD,2025-10-17,0.57232,0.57429,0.57116,0.57241,193763
NZDUSD,2025-10-16,0.57235,0.57552,0.57117,0.57232,346078
NZDUSD,2025-10-15,0.57141,0.57317,0.57056,0.57235,145783
NZDUSD,2025-10-14,0.57247,0.57281,0.56826,0.57141,188309
NZDUSD,2025-10-13,0.5736,0.57454,0.57169,0.57247,163255
NZDUSD,2025-10-12,0.5727,0.5746,0.57204,0.57268,45143
NZDUSD,2025-10-10,0.57447,0.57583,0.57144,0.5718,167430
NZDUSD,2025-10-09,0.57867,0.58064,0.57339,0.57447,329444
NZDUSD,2025-10-08,0.57984,0.58017,0.57368,0.57867,159611
NZDUSD,2025-10-07,0.58415,0.58424,0.5794,0.57984,117305
NZDUSD,2025-10-06,0.58093,0.5845,0.58093,0.58415,144193
NZDUSD,2025-10-05,0.58093,0.58408,0.58093,0.58365,32065
NZDUSD,2025-10-03,0.58133,0.58383,0.58119,0.58269,119370
NZDUSD,2025-10-02,0.58162,0.58428,0.58029,0.58133,274244
NZDUSD,2025-10-01,0.57928,0.58312,0.57862,0.58162,164082
NZDUSD,2025-09-30,0.57769,0.58078,0.57724,0.57928,146630
NZDUSD,2025-09-29,0.57688,0.5796,0.57688,0.57769,119775
NZDUSD,2025-09-28,0.57772,0.57963,0.5772,0.57782,22483
NZDUSD,2025-09-26,0.57668,0.57758,0.57543,0.57688,138734
NZDUSD,2025-09-25,0.58093,0.58313,0.57587,0.57668,295540
NZDUSD,2025-09-24,0.58574,0.58662,0.58083,0.58093,131947
NZDUSD,2025-09-23,0.58664,0.58696,0.58452,0.58574,140061
NZDUSD,2025-09-22,0.58544,0.58714,0.58425,0.58664,125936
NZDUSD,2025-09-21,0.58585,0.58605,0.58238,0.585,27133
NZDUSD,2025-09-19,0.5882,0.58919,0.58536,0.58544,140250
NZDUSD,2025-09-18,0.59599,0.59653,0.58721,0.5882,346770
NZDUSD,2025-09-17,0.5986,0.60074,0.59482,0.59599,153445
NZDUSD,2025-09-16,0.59704,0.59911,0.59555,0.5986,147198
NZDUSD,2025-09-15,0.59526,0.59749,0.59444,0.59704,123559
NZDUSD,2025-09-14,0.59561,0.59723,0.5951,0.59534,20187
NZDUSD,2025-09-12,0.59752,0.59786,0.59397,0.59526,102758
NZDUSD,2025-09-11,0.59361,0.59797,0.59129,0.59752,294536
NZDUSD,2025-09-10,0.59254,0.59638,0.59211,0.59361,152815
NZDUSD,2025-09-09,0.59398,0.59597,0.59225,0.59254,150311
NZDUSD,2025-09-08,0.58898,0.59456,0.58823,0.59398,121803
NZDUSD,2025-09-07,0.58952,0.59046,0.58848,0.58978,34036
NZDUSD,2025-09-05,0.5843,0.59179,0.58369,0.58898,146912
NZDUSD,2025-09-04,0.58783,0.58899,0.58328,0.5843,270034
NZDUSD,2025-09-03,0.58652,0.58835,0.58413,0.58783,139495
NZDUSD,2025-09-02,0.58948,0.59078,0.58373,0.58652,158007
NZDUSD,2025-09-01,0.589,0.59145,0.58856,0.58948,83646
NZDUSD,2025-08-31,0.589,0.59139,0.58856,0.59056,23061
NZDUSD,2025-08-29,0.58836,0.59058,0.58789,0.589,107871
NZDUSD,2025-08-28,0.58585,0.58919,0.58491,0.58836,244306
NZDUSD,2025-08-27,0.586,0.58651,0.58182,0.58585,106581
NZDUSD,2025-08-26,0.58469,0.58682,0.58287,0.586,135999
NZDUSD,2025-08-25,0.58611,0.58805,0.58453,0.58469,100481
NZDUSD,2025-08-24,0.58692,0.5873,0.58525,0.58618,21154
NZDUSD,2025-08-22,0.58154,0.58762,0.57998,0.5861,154795
NZDUSD,2025-08-21,0.58224,0.5833,0.58107,0.58154,251220
NZDUSD,2025-08-20,0.58923,0.58982,0.5815,0.58224,139072
NZDUSD,2025-08-19,0.59218,0.59305,0.58912,0.58923,113724
NZDUSD,2025-08-18,0.59244,0.59427,0.59097,0.59218,105141
NZDUSD,2025-08-17,0.59238,0.59389,0.59224,0.59333,21241
NZDUSD,2025-08-15,0.59155,0.5939,0.59073,0.592,108552
NZDUSD,2025-08-14,0.5972,0.59911,0.59086,0.59155,321540
NZDUSD,2025-08-13,0.59501,0.59959,0.59449,0.5972,117830
NZDUSD,2025-08-12,0.59366,0.5966,0.5913,0.59501,193667
NZDUSD,2025-08-11,0.59466,0.59589,0.59249,0.59366,112833
NZDUSD,2025-08-10,0.59466,0.59577,0.59441,0.5957,22704
NZDUSD,2025-08-08,0.59587,0.59719,0.59472,0.59505,132020
NZDUSD,2025-08-07,0.59255,0.59672,0.59229,0.59587,307778
NZDUSD,2025-08-06,0.59015,0.59411,0.58905,0.59255,147268
NZDUSD,2025-08-05,0.59068,0.59226,0.58813,0.59015,165560
NZDUSD,2025-08-04,0.59173,0.59305,0.58987,0.59068,171455
NZDUSD,2025-08-03,0.59182,0.5927,0.5906,0.59198,44607
NZDUSD,2025-08-01,0.5888,0.59289,0.58565,0.59117,268298
NZDUSD,2025-07-31,0.58947,0.59369,0.58879,0.5888,380348
NZDUSD,2025-07-30,0.59548,0.59715,0.58886,0.58947,200131
NZDUSD,2025-07-29,0.5969,0.59764,0.59426,0.59548,167723
NZDUSD,2025-07-28,0.60091,0.60327,0.59664,0.5969,189149
NZDUSD,2025-07-27,0.60091,0.60327,0.60081,0.60138,37563
NZDUSD,2025-07-25,0.60276,0.6039,0.59978,0.6013,149023
NZDUSD,2025-07-24,0.60452,0.60594,0.60262,0.60276,328164
NZDUSD,2025-07-23,0.6001,0.60475,0.59885,0.60452,159372
NZDUSD,2025-07-22,0.59677,0.60043,0.59404,0.6001,130150
NZDUSD,2025-07-21,0.59674,0.5985,0.59386,0.59677,125845
NZDUSD,2025-07-20,0.59674,0.59675,0.59386,0.59494,34651
NZDUSD,2025-07-18,0.5931,0.59911,0.59245,0.59556,115659
NZDUSD,2025-07-17,0.59466,0.59489,0.59046,0.5931,290510
NZDUSD,2025-07-16,0.59442,0.59697,0.59125,0.59466,209271
NZDUSD,2025-07-15,0.59708,0.60058,0.59382,0.59442,152961
NZDUSD,2025-07-14,0.59891,0.60146,0.59685,0.59708,134193
NZDUSD,2025-07-13,0.60132,0.60161,0.59819,0.59853,35596
NZDUSD,2025-07-11,0.60332,0.60434,0.60008,0.60034,169638
NZDUSD,2025-07-10,0.59989,0.6036,0.59954,0.60332,250712
NZDUSD,2025-07-09,0.59974,0.60143,0.59759,0.59989,154272
NZDUSD,2025-07-08,0.5994,0.60347,0.59793,0.59974,173247
NZDUSD,2025-07-07,0.6054,0.60587,0.59882,0.5994,154906
NZDUSD,2025-07-06,0.60517,0.60576,0.60416,0.6049,33651
