date,country,event,currency,previous,estimate,actual,change,impact,changePercentage,unit
2023-10-11 12:30:00,US,Producer Price Index MoM (Sep),USD,0.7,0.3,0.5,-0.2,High,-28.571,%
2023-10-11 18:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-10-12 05:30:00,US,CPI MoM (Sep),USD,0.5,0.3,0.4,-0.1,High,-20.0,%
2023-10-12 05:30:00,US,Core CPI MoM (Sep),USD,0.3,0.3,0.3,0.0,High,0.0,%
2023-10-12 05:30:00,US,CPI YoY (Sep),USD,3.7,3.6,3.7,0.0,High,0.0,%
2023-10-12 12:30:00,US,Core Inflation Rate YoY (Sep),USD,4.3,4.1,4.1,-0.2,High,-4.651,%
2023-10-12 12:30:00,US,Core Inflation Rate MoM (Sep),USD,0.3,0.3,0.3,0.0,High,0.0,%
2023-10-12 12:30:00,US,Inflation Rate MoM (Sep),USD,0.6,0.3,0.4,-0.2,High,-33.333,%
2023-10-12 12:30:00,US,Inflation Rate YoY (Sep),USD,3.7,3.6,3.7,0.0,High,0.0,%
2023-10-13 14:00:00,US,Michigan Consumer Sentiment (Oct),USD,68.1,67.2,63.0,-5.1,High,-7.489,
2023-10-17 12:30:00,US,Retail Sales MoM (Sep),USD,0.8,0.3,0.7,-0.1,High,-12.5,%
2023-10-19 16:00:00,US,Fed Chair Powell Speech,USD,,,,,High,0.0,
2023-10-25 20:35:00,US,Fed Chair Powell Speech,USD,,,,,High,0.0,
2023-10-26 12:30:00,US,Durable Goods Orders MoM (Sep),USD,-0.1,1.7,4.7,4.8,High,4800.0,%
2023-10-27 12:30:00,US,Personal Spending MoM (Sep),USD,0.4,0.5,0.7,0.3,High,75.0,%
2023-10-27 12:30:00,US,Core PCE Price Index MoM (Sep),USD,0.1,0.3,0.3,0.2,High,200.0,%
2023-10-27 12:30:00,US,Personal Income MoM (Sep),USD,0.4,0.4,0.3,-0.1,High,-25.0,%
2023-10-31 08:00:00,US,CB Consumer Confidence (Oct),USD,104.3,100.0,102.6,-1.7,High,-1.63,
2023-11-01 12:00:00,US,FOMC Economic Projections,USD,,,,,High,0.0,
2023-11-01 12:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-11-01 14:00:00,US,JOLTs Job Openings (Sep),USD,9.497,9.25,9.553,0.056,High,0.59,M
2023-11-01 14:00:00,US,ISM Manufacturing PMI (Oct),USD,49.0,49.0,46.7,-2.3,High,-4.694,
2023-11-01 18:00:00,US,Fed Interest Rate Decision,USD,5.5,5.5,5.5,0.0,High,0.0,%
2023-11-01 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-11-03 08:00:00,US,ISM Non-Manufacturing Prices (Oct),USD,58.9,56.6,58.6,-0.3,High,-0.509,
2023-11-03 08:00:00,US,ISM Non-Manufacturing PMI (Oct),USD,53.6,53.0,51.8,-1.8,High,-3.358,
2023-11-03 12:30:00,US,Non Farm Payrolls (Oct),USD,297.0,180.0,150.0,-147.0,High,-49.495,K
2023-11-03 12:30:00,US,Unemployment Rate (Oct),USD,3.8,3.8,3.9,0.1,High,2.632,%
