date,open,high,low,close
2025-04-02,1.07925,1.09241,1.07799,1.08489
2025-04-03,1.08489,1.1145,1.08045,1.10513
2025-04-04,1.10513,1.11074,1.09236,1.09625
2025-04-07,1.08878,1.10497,1.08778,1.09055
2025-04-08,1.09055,1.09916,1.08877,1.09533
2025-04-09,1.09533,1.10948,1.09126,1.09449
2025-04-10,1.09449,1.12414,1.09426,1.11982
2025-04-11,1.11982,1.14736,1.11873,1.13583
2025-04-14,1.13208,1.14242,1.12956,1.13499
2025-04-15,1.13499,1.13787,1.12637,1.12789
2025-04-16,1.12789,1.14125,1.12781,1.13981
2025-04-17,1.13981,1.1409,1.13348,1.13611
2025-04-18,1.13611,1.13971,1.13568,1.13893
2025-04-20,1.13913,1.15295,1.13913,1.15149
2025-04-21,1.13913,1.15729,1.13913,1.15131
2025-04-22,1.15131,1.1547,1.14171,1.14193
2025-04-23,1.14193,1.14396,1.13072,1.13133
2025-04-24,1.13133,1.13977,1.13133,1.13879
2025-04-25,1.13879,1.13914,1.13152,1.13619
2025-04-27,1.13817,1.13817,1.13469,1.13589
2025-04-28,1.13584,1.14247,1.13291,1.14173
2025-04-29,1.14173,1.14216,1.13697,1.13854
2025-04-30,1.13854,1.13993,1.13168,1.13276
2025-05-01,1.13276,1.13408,1.12654,1.12863
2025-05-02,1.12863,1.13806,1.12738,1.12981
2025-05-04,1.1302,1.13494,1.12994,1.13301
2025-05-05,1.13007,1.13646,1.1294,1.1314
2025-05-06,1.1314,1.1381,1.12793,1.13665
2025-05-07,1.13665,1.13779,1.12912,1.12995
2025-05-08,1.12995,1.1336,1.12116,1.12247
2025-05-09,1.12247,1.12925,1.11963,1.12459
2025-05-11,1.12537,1.12549,1.11995,1.1229
2025-05-12,1.11834,1.12424,1.10649,1.10819
2025-05-13,1.10819,1.11945,1.10819,1.11841
2025-05-14,1.11841,1.12656,1.11642,1.11739
2025-05-15,1.11739,1.1228,1.11683,1.1184
2025-05-16,1.1184,1.12193,1.11307,1.11614
2025-05-18,1.11903,1.11939,1.118,1.11883
2025-05-19,1.11793,1.1288,1.11696,1.12409
2025-05-20,1.12409,1.12855,1.12176,1.12818
2025-05-21,1.12818,1.13624,1.12775,1.13283
2025-05-22,1.13283,1.13447,1.12553,1.12783
2025-05-23,1.12783,1.13753,1.12763,1.13575
2025-05-25,1.13766,1.1422,1.13649,1.14082
2025-05-26,1.13653,1.14185,1.13587,1.13811
2025-05-27,1.13811,1.1407,1.13229,1.13264
2025-05-28,1.13264,1.13448,1.12833,1.12905
2025-05-29,1.12905,1.13843,1.12101,1.13658
2025-05-30,1.13658,1.13895,1.13122,1.13463
2025-06-01,1.13465,1.1361,1.13457,1.13525
2025-06-02,1.13531,1.14494,1.13447,1.1439
2025-06-03,1.1439,1.14544,1.13636,1.13696
2025-06-04,1.13696,1.14342,1.13569,1.14168
2025-06-05,1.14168,1.14948,1.14043,1.14443
2025-06-06,1.14443,1.1457,1.13713,1.13927
2025-06-08,1.14078,1.14403,1.13876,1.14078
2025-06-09,1.13936,1.1439,1.13861,1.14175
2025-06-10,1.14175,1.14474,1.13724,1.14202
2025-06-11,1.14202,1.14993,1.1405,1.14873
2025-06-12,1.14873,1.16311,1.14831,1.15804
2025-06-13,1.15804,1.16142,1.14884,1.1551
2025-06-15,1.1542,1.155,1.1526,1.15262
2025-06-16,1.15253,1.16144,1.15232,1.15593
2025-06-17,1.15593,1.15794,1.14743,1.14793
2025-06-18,1.14793,1.15301,1.14602,1.14791
2025-06-19,1.14791,1.14998,1.14458,1.14935
2025-06-20,1.14935,1.15435,1.14896,1.15211
2025-06-22,1.15101,1.15101,1.14548,1.14963
2025-06-23,1.14549,1.15814,1.14519,1.1576
2025-06-24,1.1576,1.16413,1.15735,1.1609
2025-06-25,1.1609,1.16648,1.15897,1.16585
2025-06-26,1.16585,1.17447,1.16526,1.16999
2025-06-27,1.16999,1.17537,1.16806,1.17163
2025-06-29,1.17371,1.17412,1.17118,1.17149
2025-06-30,1.17274,1.17882,1.17074,1.17868
2025-07-01,1.17871,1.183,1.17612,1.18062
2025-07-02,1.18062,1.181,1.17467,1.17986
2025-07-03,1.17986,1.18101,1.17168,1.17566
2025-07-04,1.17566,1.17875,1.17507,1.17706
2025-07-06,1.17774,1.17899,1.17644,1.17744
2025-07-07,1.17777,1.17902,1.16863,1.1708
2025-07-08,1.17096,1.17654,1.16824,1.17256
2025-07-09,1.17211,1.17294,1.16897,1.17218
2025-07-10,1.17188,1.17497,1.16624,1.17006
2025-07-11,1.1699,1.17142,1.16648,1.16911
2025-07-13,1.16645,1.17,1.16564,1.16783
2025-07-14,1.16702,1.16978,1.16543,1.16656
2025-07-15,1.1665,1.16928,1.15929,1.16024
2025-07-16,1.15998,1.17217,1.15624,1.16417
2025-07-17,1.16372,1.16426,1.15569,1.15976
2025-07-18,1.1594,1.16722,1.15938,1.16255
2025-07-20,1.1633,1.1633,1.16216,1.16291
2025-07-21,1.16297,1.17168,1.16147,1.16956
2025-07-22,1.16928,1.17608,1.16788,1.17544
2025-07-23,1.17544,1.17752,1.1711,1.1773
2025-07-24,1.17702,1.17888,1.17306,1.1749
2025-07-25,1.17394,1.1761,1.1703,1.17417
2025-07-27,1.17562,1.17673,1.17502,1.17549
2025-07-28,1.17558,1.17706,1.15853,1.15887
2025-07-29,1.15912,1.15994,1.1519,1.15454
2025-07-30,1.15474,1.15728,1.1401,1.14055
2025-07-31,1.14066,1.14608,1.14033,1.14148
2025-08-01,1.14172,1.15971,1.13916,1.15874
2025-08-03,1.15982,1.16023,1.1554,1.1579
2025-08-04,1.15924,1.1597,1.15496,1.15726
2025-08-05,1.15704,1.1588,1.15278,1.15752
2025-08-06,1.15742,1.16686,1.15643,1.16602
2025-08-07,1.16577,1.16988,1.1611,1.1664
2025-08-08,1.16654,1.16794,1.1629,1.16416
2025-08-10,1.16496,1.16768,1.16419,1.16754
2025-08-11,1.16496,1.16756,1.15902,1.1616
2025-08-12,1.16147,1.16974,1.15988,1.16732
2025-08-13,1.16804,1.17303,1.16692,1.17049
2025-08-14,1.17058,1.17153,1.1631,1.16488
2025-08-15,1.16502,1.17154,1.16462,1.1705
2025-08-17,1.17041,1.17247,1.16973,1.17032
2025-08-18,1.17133,1.17162,1.1656,1.16612
2025-08-19,1.16617,1.16929,1.16392,1.16465
2025-08-20,1.16482,1.16739,1.16222,1.165
2025-08-21,1.16531,1.16629,1.16012,1.16064
2025-08-22,1.16066,1.17428,1.1583,1.17219
2025-08-24,1.17288,1.1733,1.1697,1.17074
2025-08-25,1.17236,1.17284,1.16028,1.16204
2025-08-26,1.16189,1.16654,1.16022,1.16408
2025-08-27,1.16457,1.1648,1.1574,1.16376
2025-08-28,1.16376,1.16975,1.1629,1.16825
2025-08-29,1.16824,1.1709,1.16508,1.16858
2025-08-31,1.1696,1.17165,1.16868,1.17074
2025-09-01,1.1696,1.17365,1.16868,1.17114
2025-09-02,1.17094,1.17183,1.1613,1.16424
2025-09-03,1.16422,1.16822,1.16082,1.16612
2025-09-04,1.16618,1.16696,1.163,1.16507
2025-09-05,1.16494,1.17596,1.1648,1.1718
