symbol,date,open,high,low,close,volume
AUDUSD,2024-10-04,0.68396,0.68518,0.67851,0.67911,224210
AUDUSD,2024-10-03,0.68849,0.68881,0.68298,0.68396,528860
AUDUSD,2024-10-02,0.68824,0.69153,0.68751,0.68849,238767
AUDUSD,2024-10-01,0.69125,0.69342,0.6856,0.68824,297502
AUDUSD,2024-09-30,0.68996,0.6942,0.68947,0.69125,245294
AUDUSD,2024-09-27,0.68954,0.69368,0.68677,0.68979,258183
AUDUSD,2024-09-26,0.68226,0.69044,0.68184,0.68954,495958
AUDUSD,2024-09-25,0.68915,0.69078,0.68176,0.68226,227411
AUDUSD,2024-09-24,0.68372,0.68928,0.68141,0.68915,235590
AUDUSD,2024-09-23,0.68009,0.68533,0.67935,0.68372,203570
AUDUSD,2024-09-20,0.68136,0.68284,0.67826,0.68036,242027
AUDUSD,2024-09-19,0.67642,0.68387,0.67373,0.68136,603706
AUDUSD,2024-09-18,0.6755,0.682,0.6742,0.67642,297123
AUDUSD,2024-09-17,0.67509,0.67684,0.6741,0.6755,191125
AUDUSD,2024-09-16,0.66977,0.67535,0.66977,0.67512,160382
AUDUSD,2024-09-13,0.6722,0.67327,0.66921,0.6701,206529
AUDUSD,2024-09-12,0.66739,0.67252,0.66564,0.6722,436140
AUDUSD,2024-09-11,0.66524,0.6676,0.6622,0.66739,248838
AUDUSD,2024-09-10,0.66601,0.66765,0.6641,0.66524,177212
AUDUSD,2024-09-09,0.66629,0.6689,0.66477,0.66601,187155
AUDUSD,2024-09-06,0.67407,0.67672,0.66597,0.66673,291095
AUDUSD,2024-09-05,0.67246,0.67417,0.67134,0.67407,431412
AUDUSD,2024-09-04,0.6711,0.67493,0.66857,0.67246,233740
AUDUSD,2024-09-03,0.67897,0.67923,0.67077,0.6711,230127
AUDUSD,2024-09-02,0.67628,0.67947,0.67568,0.67897,121234
AUDUSD,2024-08-30,0.67981,0.68164,0.67514,0.67624,210135
AUDUSD,2024-08-29,0.67848,0.68239,0.67791,0.67981,462192
AUDUSD,2024-08-28,0.67919,0.68129,0.67642,0.67848,220239
AUDUSD,2024-08-27,0.6771,0.67956,0.67615,0.67919,176428
AUDUSD,2024-08-26,0.67871,0.67968,0.67665,0.6771,182325
AUDUSD,2024-08-23,0.67039,0.67985,0.66986,0.67933,245006
AUDUSD,2024-08-22,0.67398,0.67527,0.6697,0.67039,385570
AUDUSD,2024-08-21,0.67435,0.6761,0.67306,0.67398,193631
AUDUSD,2024-08-20,0.67278,0.67491,0.67131,0.67435,192934
AUDUSD,2024-08-19,0.66641,0.67336,0.66613,0.67278,188284
AUDUSD,2024-08-16,0.66102,0.66713,0.66075,0.66671,169826
AUDUSD,2024-08-15,0.65962,0.66345,0.65604,0.66102,424762
AUDUSD,2024-08-14,0.66336,0.66429,0.65953,0.65962,241817
AUDUSD,2024-08-13,0.65831,0.66379,0.6579,0.66336,211068
AUDUSD,2024-08-12,0.6565,0.66049,0.6565,0.65831,195303
AUDUSD,2024-08-09,0.65924,0.66053,0.65665,0.65694,227677
AUDUSD,2024-08-08,0.65177,0.65941,0.65071,0.65924,319631
AUDUSD,2024-08-07,0.65172,0.65746,0.65094,0.65177,341823
AUDUSD,2024-08-06,0.64941,0.65417,0.64722,0.65172,432533
AUDUSD,2024-08-05,0.65083,0.65173,0.63478,0.64941,550561
AUDUSD,2024-08-02,0.65007,0.65474,0.64866,0.65083,307233
AUDUSD,2024-08-01,0.65418,0.65599,0.64887,0.65007,254785
AUDUSD,2024-07-31,0.65372,0.65557,0.64794,0.65418,270054
AUDUSD,2024-07-30,0.65486,0.65623,0.6529,0.65372,182090
AUDUSD,2024-07-29,0.65475,0.65683,0.65241,0.65486,172781
AUDUSD,2024-07-26,0.65376,0.65684,0.6534,0.65454,176290
AUDUSD,2024-07-25,0.65813,0.65826,0.65132,0.65376,264640
AUDUSD,2024-07-24,0.66147,0.66168,0.65775,0.65813,204455
AUDUSD,2024-07-23,0.66421,0.66459,0.66112,0.66147,165319
AUDUSD,2024-07-22,0.66871,0.67021,0.66313,0.66421,195231
AUDUSD,2024-07-19,0.67059,0.67088,0.66797,0.66842,197127
AUDUSD,2024-07-18,0.67288,0.67436,0.66975,0.67059,229539
AUDUSD,2024-07-17,0.67335,0.67547,0.67209,0.67288,221364
AUDUSD,2024-07-16,0.67593,0.67642,0.67145,0.67335,188318
AUDUSD,2024-07-15,0.67687,0.67887,0.67524,0.67593,196924
AUDUSD,2024-07-12,0.67595,0.67937,0.67539,0.67828,207936
AUDUSD,2024-07-11,0.67473,0.67985,0.67415,0.67595,229382
AUDUSD,2024-07-10,0.67408,0.67521,0.67319,0.67473,148254
AUDUSD,2024-07-09,0.67368,0.67477,0.67238,0.67408,166839
AUDUSD,2024-07-08,0.67354,0.6761,0.67317,0.67368,160328
AUDUSD,2024-07-05,0.67242,0.67527,0.67091,0.67473,188425
AUDUSD,2024-07-04,0.67038,0.67318,0.67012,0.67242,100313
AUDUSD,2024-07-03,0.6667,0.67336,0.66627,0.67038,157420
AUDUSD,2024-07-02,0.66596,0.66707,0.6634,0.6667,182612
AUDUSD,2024-07-01,0.66788,0.66888,0.66438,0.66596,178926
AUDUSD,2024-06-28,0.66465,0.66846,0.66197,0.66681,205864
AUDUSD,2024-06-27,0.66476,0.66725,0.66398,0.66465,171727
AUDUSD,2024-06-26,0.66471,0.66886,0.66359,0.66476,183533
AUDUSD,2024-06-25,0.66566,0.66727,0.6635,0.66471,154540
AUDUSD,2024-06-24,0.66341,0.66677,0.6626,0.66566,161405
AUDUSD,2024-06-21,0.66555,0.66697,0.66316,0.66395,152774
AUDUSD,2024-06-20,0.667,0.66792,0.66475,0.66555,154804
AUDUSD,2024-06-19,0.6656,0.66775,0.66509,0.667,68771
AUDUSD,2024-06-18,0.66129,0.66576,0.66,0.6656,171445
AUDUSD,2024-06-17,0.66101,0.6618,0.65851,0.66129,145528
AUDUSD,2024-06-14,0.66354,0.66415,0.65911,0.66139,209868
AUDUSD,2024-06-13,0.66633,0.66753,0.66259,0.66354,180923
AUDUSD,2024-06-12,0.66061,0.67043,0.65971,0.66633,241665
AUDUSD,2024-06-11,0.66096,0.66135,0.65885,0.66061,149467
AUDUSD,2024-06-10,0.65792,0.66111,0.65746,0.66096,138584
AUDUSD,2024-06-07,0.66667,0.66813,0.65783,0.65783,189540
AUDUSD,2024-06-06,0.66472,0.66835,0.66334,0.66667,153968
AUDUSD,2024-06-05,0.6649,0.66645,0.6626,0.66472,167325
AUDUSD,2024-06-04,0.66892,0.66986,0.66309,0.6649,194192
AUDUSD,2024-06-03,0.66462,0.6695,0.66324,0.66892,164258
AUDUSD,2024-05-31,0.6633,0.66727,0.66263,0.66523,172550
AUDUSD,2024-05-30,0.66099,0.66476,0.65907,0.6633,163427
AUDUSD,2024-05-29,0.66494,0.66661,0.66092,0.66099,157057
AUDUSD,2024-05-28,0.66515,0.66798,0.66426,0.66494,138532
AUDUSD,2024-05-27,0.66227,0.66599,0.6622,0.66515,90430
AUDUSD,2024-05-24,0.66061,0.66365,0.65921,0.66266,126766
AUDUSD,2024-05-23,0.66196,0.6653,0.65975,0.66061,175542
AUDUSD,2024-05-22,0.66654,0.66853,0.66078,0.66196,149970
AUDUSD,2024-05-21,0.66672,0.6679,0.66465,0.66654,139710
AUDUSD,2024-05-20,0.66905,0.67093,0.66618,0.66672,127002
AUDUSD,2024-05-17,0.66781,0.67012,0.66486,0.66919,114369
AUDUSD,2024-05-16,0.66932,0.67141,0.6654,0.66781,142035
AUDUSD,2024-05-15,0.66264,0.6695,0.6619,0.66932,156143
AUDUSD,2024-05-14,0.66077,0.66277,0.6579,0.66264,131785
AUDUSD,2024-05-13,0.65984,0.66287,0.65857,0.66077,107943
AUDUSD,2024-05-10,0.66198,0.66229,0.65959,0.65996,120320
AUDUSD,2024-05-09,0.65792,0.66213,0.65654,0.66198,129098
AUDUSD,2024-05-08,0.65975,0.65991,0.65579,0.65792,110918
AUDUSD,2024-05-07,0.66254,0.66437,0.65867,0.65975,145379
AUDUSD,2024-05-06,0.6615,0.66383,0.66019,0.66254,115851
AUDUSD,2024-05-03,0.65652,0.66479,0.65611,0.66077,212750
AUDUSD,2024-05-02,0.65228,0.65731,0.65125,0.65652,193438
AUDUSD,2024-05-01,0.64731,0.654,0.64652,0.65228,189674
AUDUSD,2024-04-30,0.65664,0.65676,0.64718,0.64731,162076
AUDUSD,2024-04-29,0.6529,0.65865,0.65246,0.65664,172559
AUDUSD,2024-04-26,0.65184,0.65542,0.65142,0.65303,151768
AUDUSD,2024-04-25,0.64971,0.65384,0.64853,0.65184,149562
AUDUSD,2024-04-24,0.64871,0.65296,0.6483,0.64971,131071
AUDUSD,2024-04-23,0.64489,0.64901,0.6441,0.64871,143403
AUDUSD,2024-04-22,0.64119,0.64554,0.64073,0.64489,136722
AUDUSD,2024-04-19,0.64213,0.64329,0.63623,0.64143,238423
AUDUSD,2024-04-18,0.6435,0.64565,0.64164,0.64213,168324
AUDUSD,2024-04-17,0.64016,0.64462,0.63964,0.6435,173484
AUDUSD,2024-04-16,0.64418,0.64446,0.6389,0.64016,214143
AUDUSD,2024-04-15,0.64643,0.64931,0.64376,0.64418,200215
AUDUSD,2024-04-12,0.65376,0.65432,0.6456,0.6459,172828
AUDUSD,2024-04-11,0.65123,0.65529,0.65018,0.65376,191323
AUDUSD,2024-04-10,0.66283,0.66313,0.64986,0.65123,197265
